customer_id,frequency,recency,T,monetary_value
10,12.0,378.0,1213.0,65.66666666666667
100,0.0,0.0,827.0,0.0
101,0.0,0.0,827.0,0.0
102,0.0,0.0,820.0,0.0
103,0.0,0.0,826.0,0.0
104,2.0,537.0,826.0,60.910000000000004
105,1.0,356.0,1182.0,105.0
106,1.0,141.0,824.0,129.0
107,0.0,0.0,822.0,0.0
108,2.0,60.0,804.0,89.1
11,0.0,0.0,1212.0,0.0
110,0.0,0.0,820.0,0.0
112,0.0,0.0,817.0,0.0
113,4.0,378.0,1195.0,241.495
114,4.0,182.0,804.0,94.05
117,1.0,134.0,817.0,77.95
118,0.0,0.0,817.0,0.0
119,0.0,0.0,811.0,0.0
121,0.0,0.0,809.0,0.0
123,0.0,0.0,801.0,0.0
125,1.0,29.0,773.0,99.0
126,2.0,474.0,786.0,59.27
127,1.0,29.0,773.0,99.0
129,24.0,707.0,799.0,94.61416666666666
13,8.0,302.0,1174.0,77.5
130,14.0,455.0,773.0,99.0
131,0.0,0.0,753.0,0.0
133,0.0,0.0,748.0,0.0
1330,0.0,0.0,651.0,0.0
136,0.0,0.0,730.0,0.0
137,0.0,0.0,722.0,0.0
138,0.0,0.0,718.0,0.0
14,9.0,279.0,1174.0,77.66666666666667
140,6.0,519.0,1049.0,99.0
142,0.0,0.0,683.0,0.0
143,3.0,727.0,828.0,163.84666666666666
144,1.0,365.0,676.0,110.21
145,0.0,0.0,681.0,0.0
146,0.0,0.0,680.0,0.0
15,3.0,96.0,1174.0,59.0
1548,2.0,467.0,645.0,83.945
1576,2.0,62.0,622.0,99.0
1582,0.0,0.0,641.0,0.0
16,1.0,37.0,1174.0,59.0
1613,3.0,620.0,1180.0,99.0
1621,2.0,50.0,600.0,104.935
1623,0.0,0.0,596.0,0.0
1626,1.0,96.0,566.0,101.4
1628,0.0,0.0,562.0,0.0
1632,4.0,542.0,721.0,107.4575
1639,2.0,542.0,1054.0,120.68
17,13.0,398.0,1174.0,62.70769230769231
1704,1.0,566.0,1047.0,190.99
1705,0.0,0.0,480.0,0.0
1757,4.0,105.0,471.0,124.35499999999999
1759,0.0,0.0,475.0,0.0
1779,0.0,0.0,472.0,0.0
1788,1.0,188.0,471.0,104.44
1796,1.0,375.0,470.0,147.47
1797,10.0,1042.0,1096.0,124.133
1808,0.0,0.0,469.0,0.0
1810,0.0,0.0,469.0,0.0
1811,4.0,90.0,469.0,148.5
1814,2.0,62.0,468.0,198.0
1816,0.0,0.0,302.0,0.0
1817,1.0,379.0,468.0,124.31
1818,1.0,358.0,826.0,365.9
1831,0.0,0.0,467.0,0.0
1832,0.0,0.0,467.0,0.0
1849,2.0,47.0,334.0,99.0
1857,0.0,0.0,464.0,0.0
187,0.0,0.0,676.0,0.0
1870,2.0,59.0,438.0,99.0
19,3.0,96.0,1174.0,59.0
1974,2.0,59.0,438.0,99.0
1979,0.0,0.0,455.0,0.0
1980,0.0,0.0,453.0,0.0
1983,1.0,39.0,453.0,168.85
1984,0.0,0.0,453.0,0.0
1987,0.0,0.0,452.0,0.0
2,11.0,1153.0,1240.0,127.88818181818182
20,14.0,430.0,1174.0,71.16428571428571
2005,0.0,0.0,451.0,0.0
2010,5.0,151.0,438.0,99.0
21,11.0,310.0,1174.0,64.61636363636363
2100,2.0,59.0,438.0,99.0
22,3.0,96.0,1174.0,35.0
2230,1.0,18.0,397.0,99.0
2232,1.0,16.0,395.0,184.75
2246,0.0,0.0,373.0,0.0
2250,0.0,0.0,369.0,0.0
2256,2.0,135.0,422.0,107.485
2257,1.0,763.0,1129.0,75.98
2258,0.0,0.0,366.0,0.0
24,11.0,340.0,1174.0,66.27272727272727
25,1.0,30.0,1203.0,75.0
2544,0.0,0.0,336.0,0.0
26,0.0,0.0,1202.0,0.0
27,13.0,379.0,1196.0,65.76615384615386
2738,0.0,0.0,319.0,0.0
2739,0.0,0.0,319.0,0.0
2742,0.0,0.0,314.0,0.0
2760,0.0,0.0,295.0,0.0
28,2.0,59.0,1196.0,75.0
2896,0.0,0.0,283.0,0.0
29,3.0,115.0,1193.0,75.0
3,7.0,725.0,1012.0,101.16714285714285
30,11.0,359.0,1193.0,66.27272727272727
31,0.0,0.0,1189.0,0.0
32,3.0,110.0,1187.0,35.0
33,0.0,0.0,1184.0,0.0
34,5.0,166.0,1183.0,32.4
3402,2.0,93.0,189.0,104.39500000000001
3403,0.0,0.0,188.0,0.0
3404,0.0,0.0,168.0,0.0
3407,0.0,0.0,158.0,0.0
3410,1.0,713.0,834.0,105.92
3411,3.0,97.0,115.0,105.98666666666666
3412,6.0,570.0,685.0,110.13166666666666
3413,0.0,0.0,112.0,0.0
3417,1.0,17.0,122.0,130.15
3418,0.0,0.0,103.0,0.0
3420,0.0,0.0,94.0,0.0
3423,0.0,0.0,92.0,0.0
3425,0.0,0.0,90.0,0.0
3427,1.0,733.0,822.0,109.89
3428,1.0,764.0,852.0,76.2
3431,0.0,0.0,84.0,0.0
3435,0.0,0.0,29.0,0.0
3437,0.0,0.0,37.0,0.0
3438,0.0,0.0,32.0,0.0
