,Product ID,Current Price,Regular Price,Sale Price,Downloadable,Virtual,Cogs,Managing Stock,In Stock,Stock Quantity,Backorders Allowed,Weight,Barcode,Brand,Tax Class,Shipping Class,Reviews Allowed,Average Rating,Rating Count,Low Stock Amount,Sold Individually,Tags,Gross Items Sold,Items Sold,Gross Sales,Total Tax,Total Discounted,Total Refunds,Items Refunded,Refund Rate,Net Sales,Net Orders,Gross Items Sold Free,Daily Gross Items Sold,Days Of Stock Left,Sales Cost,Sales Profit,Sales Margin,Inventory Cost,Inventory Sale Value
Product ID,1.0,-0.25786197074475237,-0.2397705972611048,,,,0.9229981299088119,,,-0.37827320392985253,,-0.20018605627238095,,,,,,-0.5012093059522719,-0.3559707483190108,,,,-0.5321603521501731,-0.5295315939514049,-0.3834018308552784,,-0.18106690739869444,0.36882715133290933,0.37484632607387935,-0.10100456064253424,-0.382159352131824,-0.6509791305437042,-0.12019647052114582,-0.5479712226854941,0.5936622430585339,-0.4941805481265657,-0.33232624585881704,0.17050633868623935,-0.35129815727613334,0.14135351992171916
Current Price,-0.25786197074475237,1.0,0.8962731999218216,,,,0.9946307008802716,,,0.05607975470443054,,0.6945913029027018,,,,,,-0.022647924249918298,-0.43146738941624113,,,,0.01369470042430606,0.01561614468212401,0.5682135627479289,,0.38778082763246635,-0.4147802305401014,0.09950243808438541,-0.14409181486218686,0.5684227509253522,0.19382474111904002,0.30704730224362514,0.02275867682667715,0.8793951446084829,0.02214439953710715,0.5947176657024243,0.05481686687222161,-0.21505784292757418,-0.005680461166340991
Regular Price,-0.2397705972611048,0.8962731999218216,1.0,,,,0.9946307008802716,,,0.05607975470443054,,0.6847125158084334,,,,,,0.003910869687564425,-0.43146738941624113,,,,-0.09281954653424661,-0.09072776862735173,0.23256924433097567,,-0.04942188277190673,-0.1286277580881319,0.15500423104612884,-0.1394695462482915,0.2332947925157823,-0.01919618372826619,-0.13992020796820526,-0.07785413244231228,0.8793951446084829,0.051835404573182704,0.23806570368272376,0.020337323271786847,-0.20193849373603423,0.01630950264364063
Sale Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downloadable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cogs,0.9229981299088119,0.9946307008802716,0.9946307008802716,,,,1.0,,,-0.8654453720314468,,0.9004937223712672,,,,,,-0.7704917626128766,-0.15415113856734225,,,,-0.5527790285536541,-0.5506381611589535,0.3170573235347449,,-0.36759477631018334,-0.15451003114892103,0.3830686887671222,0.18311708859117629,0.3137030177130037,-0.5611136082096548,-0.3387278599880955,-0.5549923406811282,-0.6479255368797536,-0.03850439780982516,0.4188475879439758,0.6664074295143825,-0.5047577655197202,-0.5088790727128341
Managing Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stock Quantity,-0.37827320392985253,0.05607975470443054,0.05607975470443054,,,,-0.8654453720314468,,,1.0,,0.07169150202509242,,,,,,0.7405694206432344,-0.8372600319144369,,,,0.4384187911343499,0.4377557164878573,0.3626367443105334,,0.2852822403370736,-0.3974644820789919,-0.3766359699850888,-0.32437932842196926,0.361281236582527,0.5200309329785217,0.18201817511183746,0.4368912203577805,0.20934352681769924,0.353552916744872,0.3603979810041804,-0.26154233644305386,0.8726895266848081,0.4670708824839511
Backorders Allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight,-0.20018605627238095,0.6945913029027018,0.6847125158084334,,,,0.9004937223712672,,,0.07169150202509242,,1.0,,,,,,-0.18373069596983332,-0.3848356333186734,,,,-0.07361950082350142,-0.07229136390385875,0.28568545664178124,,0.0950774342736315,-0.158942344031045,0.10478066367653113,-0.1107866316639861,0.2865621305457101,0.05231284935813856,0.07055928893176576,-0.06502002354122849,0.8397298586903325,0.10529774292075271,0.2865589296050616,0.003478778119003237,-0.17270024655548186,0.1488096006622367
Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shipping Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviews Allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Rating,-0.5012093059522719,-0.022647924249918298,0.003910869687564425,,,,-0.7704917626128766,,,0.7405694206432344,,-0.18373069596983332,,,,,,1.0,,,,,0.7292876203583751,0.7281446621202364,0.31119211301407285,,0.09889196843041671,-0.2983869797265884,-0.3787346428245397,-0.06301759515134413,0.3101988145131124,0.6573714348680949,0.01593855960243333,0.7355243601683078,-0.20462929698178858,0.5861458540873573,0.24368804216282933,-0.03869031240676041,0.5762636517059421,0.1724830395308339
Rating Count,-0.3559707483190108,-0.43146738941624113,-0.43146738941624113,,,,-0.15415113856734225,,,-0.8372600319144369,,-0.3848356333186734,,,,,,,1.0,,,,0.8562844114616531,0.8558804839284919,0.1354380101471432,,0.5807021362684537,0.26927339712862236,-0.30769230769230776,-0.17432618060519758,0.14164677247055615,0.671282936736331,0.8808929232684737,0.8536988238541946,-0.8804475695797449,0.7095756170720097,-0.02442740948333285,-0.3922533289260753,0.20030084280546173,0.21626925670557137
Low Stock Amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sold Individually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
