customer_id,frequency,recency_days,T_days,monetary_mean,segment,segment_prob_max
10,12,378,1213,65.15384615384616,4,0.9999997405440565
100,0,0,827,34.97,2,0.9999995224389074
101,0,0,827,45.99,2,0.9999999118841799
102,2,0,820,47.99,0,0.9924696292367395
103,0,0,826,152.99,2,0.9999999998855849
104,2,536,826,75.60666666666667,1,0.7265988571318288
105,1,356,1182,90.0,1,0.8925830164942522
106,1,140,823,142.98000000000002,1,0.9849766019331687
107,0,0,821,170.95,2,0.9999999999382014
108,2,59,803,89.09999999999998,1,0.9955535238026425
11,0,0,1212,59.0,2,0.9999999586913324
110,0,0,820,74.99,2,0.9999999954506915
112,0,0,817,115.0,2,0.9999999995726316
113,9,378,1195,111.596,4,0.9999985363296204
114,4,182,803,93.05999999999999,4,0.9366072757927039
117,1,134,817,66.475,1,0.9545326135466982
118,0,0,816,55.0,2,0.9999999744981064
119,0,0,811,91.87,2,0.9999999987148875
121,0,0,808,115.0,2,0.9999999996294093
123,0,0,800,50.96,2,0.9999999693798043
125,1,28,772,99.0,1,0.999986901666052
126,2,473,786,50.17333333333334,1,0.9897276647320439
127,1,28,772,99.0,1,0.999986901666052
129,24,706,798,92.06840000000003,4,0.9999999999999307
13,8,302,1174,77.22222222222223,4,0.999948323563882
130,14,455,772,99.0,4,0.9999999973862441
131,0,0,753,49.99,2,0.9999999868114903
133,0,0,748,31.98,2,0.9999998194141483
1330,0,0,650,15.99,2,0.9999992565777182
136,0,0,730,19.96,2,0.999997600991615
137,0,0,722,243.92,2,0.9999999999982796
138,0,0,717,79.92,2,0.9999999996384954
14,9,278,1174,77.4,4,0.9999849650295223
140,6,518,1048,90.56428571428572,4,0.9998230508891337
142,0,0,683,109.98,2,0.9999999999752287
143,8,727,828,69.49222222222221,4,0.9998382200884031
144,1,365,676,82.6,1,0.9209320612231361
145,0,0,681,54.99,2,0.9999999990055599
146,0,0,680,34.97,2,0.999999985478839
15,3,95,1174,59.0,1,0.983606513607158
1548,2,466,645,66.62333333333333,1,0.9700495417473747
1576,2,62,621,99.0,1,0.9849972637105311
1582,0,0,640,31.42,2,0.9999999937348623
16,1,36,1174,59.0,1,0.9999944169099695
1613,5,620,1179,68.66666666666667,4,0.9950063351407974
1621,2,50,600,128.29666666666665,1,0.9979741056847043
1623,0,0,595,119.0,2,0.9999999999980371
1626,1,95,565,102.525,1,0.965883960566517
1628,0,0,562,146.81,2,0.999999999998499
1632,5,541,720,76.96833333333333,4,0.9794718402704877
1639,2,541,1053,100.45333333333333,4,0.6958924530592956
17,13,397,1174,60.728571428571435,4,0.9999998826816789
1704,1,565,1047,130.49,1,0.746949912372186
1705,0,0,480,190.99,2,0.9999999999987761
1757,4,105,471,128.48,4,0.5451668521560309
1759,0,0,475,74.59,2,0.9999999999994262
1779,0,0,471,76.95,2,0.9999999999993605
1788,1,188,471,102.435,1,0.9661149529414917
1796,3,374,470,78.11,1,0.9701895138247286
1797,10,1041,1096,121.29363636363637,4,0.9999999847860536
1808,0,0,469,130.0,2,0.9999999999981259
1810,0,0,468,80.95,2,0.9999999999992397
1811,6,90,468,99.0,4,0.9130645569982403
1814,5,62,468,99.0,1,0.5871321693648072
1816,0,0,302,49.51,2,0.9999999999998312
1817,1,378,468,109.63,1,0.9862901756441669
1818,3,358,826,115.95750000000001,4,0.9394349794494075
1831,0,0,466,87.93,2,0.9999999999990141
1832,0,0,466,90.94,2,0.9999999999989146
1849,2,47,334,99.0,1,0.9985940827470955
1857,0,0,463,171.45,2,0.9999999999983977
187,0,0,675,45.87,2,0.9999999976452916
1870,2,59,437,99.0,1,0.9893163195344913
19,3,95,1174,59.0,1,0.983606513607158
1974,2,59,437,99.0,1,0.9893163195344913
1979,0,0,454,37.96,2,0.9999999999999822
1980,0,0,453,155.07,2,0.9999999999981597
1983,1,38,452,143.735,1,0.9997169928406231
1984,0,0,452,125.96,2,0.9999999999981384
1987,0,0,452,79.99,2,0.9999999999993072
2,15,1153,1240,91.048125,4,0.9999999999479998
20,14,430,1173,70.35333333333332,4,0.9999999917507134
2005,0,0,451,100.99,2,0.9999999999986375
2010,5,151,437,99.0,4,0.7993168154229848
21,11,309,1173,62.14833333333333,4,0.9999976154968214
2100,2,59,437,99.0,1,0.9893163195344913
22,3,95,1173,35.0,1,0.9981116038835813
2230,1,18,397,99.0,1,0.9999499701307356
2232,1,16,395,154.245,1,0.9999990054418911
2246,0,0,372,98.78,2,0.9999999999989786
2250,0,0,369,113.23,2,0.9999999999985807
2256,2,135,422,130.63333333333333,1,0.9501500180963853
2257,1,763,1129,64.485,1,0.9667390624413164
2258,0,0,365,59.99,2,0.9999999999998614
24,11,339,1173,65.66666666666667,4,0.9999987804646333
25,1,30,1202,75.0,1,0.9999997303488247
2544,0,0,336,76.8,2,0.9999999999996394
26,0,0,1201,385.0,2,0.9999999999971889
27,13,379,1196,65.28285714285714,4,0.9999999292783562
2738,0,0,319,106.59,2,0.9999999999990319
2739,0,0,318,106.59,2,0.9999999999990372
2742,0,0,314,176.58,2,0.9999999999981615
2760,0,0,294,155.99,2,0.9999999999983107
28,2,58,1196,75.0,1,0.9998762632308251
2896,0,0,282,122.39,2,0.9999999999989182
29,3,114,1193,75.0,1,0.9570178558979244
3,7,725,1012,96.42125,4,0.9999841833597936
30,11,358,1192,65.66666666666667,4,0.9999989415838618
31,0,0,1188,35.0,2,0.9999987367717779
32,3,110,1187,35.0,1,0.9971685927264162
33,0,0,1184,649.0,2,0.9999999999996025
34,5,165,1183,31.666666666666668,1,0.9541623331612386
3402,2,93,189,106.38333333333334,1,0.9999993464503114
3403,0,0,188,88.05,2,0.9999999999943352
3404,0,0,167,126.79,2,0.9999999999974936
3407,0,0,158,183.32,2,0.999999999999396
3410,1,713,834,77.955,1,0.9545526622043545
3411,3,97,115,96.3425,1,0.9999999999982983
3412,6,569,685,110.82714285714285,4,0.9996193064829959
3413,0,0,112,215.63,2,0.9999999999995062
3417,1,16,121,125.525,1,0.9999999988141912
3418,0,0,103,101.75,2,0.9999999996538715
3420,0,0,94,87.95,2,0.9999999987713366
3423,0,0,92,84.86,2,0.9999999983885512
3425,0,0,90,107.39,2,0.9999999992489101
3427,1,732,821,133.41,1,0.7518229180605157
3428,1,764,852,58.1,1,0.9959255960312003
3431,0,0,84,106.38,2,0.9999999986634371
3435,0,0,29,94.43,2,0.9999935301619485
3437,0,0,36,136.76,2,0.9999998392762115
3438,0,0,32,97.13,2,0.9999971842411387
35,4,134,1183,37.8,1,0.9657967921049114
36,0,0,1182,59.0,2,0.9999999497647915
37,2,67,1176,35.0,1,0.9998204391567185
38,2,63,1173,75.0,1,0.9997128269079191
39,0,0,1163,105.0,2,0.9999999979711482
4,32,945,1231,89.52363636363636,4,1.0
40,9,1033,1137,74.606,4,0.9999974123305124
41,13,731,1137,91.0292857142857,4,0.999999998476139
42,2,61,1109,76.33333333333333,1,0.9995721052071547
43,9,274,1109,46.2,4,0.9993690814550613
44,2,61,1109,62.333333333333336,1,0.9993754767438793
45,2,61,1109,39.666666666666664,1,0.9996765964963974
46,2,61,1109,39.666666666666664,1,0.9996765964963974
