c1,c2,dist,count
2.0,218.0,0.0,2.0
12.0,18.0,0.0,2.0
206.0,538.0,0.0,3.0
6.0,183.0,0.0,2.0
196.0,540.0,0.0,3.0
216.0,541.0,0.0,4.0
217.0,542.0,0.0,5.0
219.0,543.0,0.0,6.0
224.0,544.0,0.0,7.0
213.0,232.0,0.0,2.0
11.0,204.0,0.0,2.0
225.0,547.0,0.0,3.0
236.0,548.0,0.0,4.0
274.0,549.0,0.0,5.0
195.0,198.0,0.0,2.0
211.0,551.0,0.0,3.0
214.0,552.0,0.0,4.0
267.0,278.0,0.0,2.0
201.0,215.0,0.0,2.0
181.0,182.0,0.0,2.0
220.0,537.0,0.0,3.0
205.0,209.0,0.0,2.0
10.0,95.0,0.0,2.0
97.0,559.0,0.0,3.0
108.0,560.0,0.0,4.0
110.0,561.0,0.0,5.0
132.0,562.0,0.0,6.0
135.0,563.0,0.0,7.0
151.0,564.0,0.0,8.0
160.0,565.0,0.0,9.0
179.0,566.0,0.0,10.0
407.0,567.0,0.0,11.0
408.0,568.0,0.0,12.0
410.0,569.0,0.0,13.0
411.0,570.0,0.0,14.0
412.0,571.0,0.0,15.0
413.0,572.0,0.0,16.0
414.0,573.0,0.0,17.0
415.0,574.0,0.0,18.0
416.0,575.0,0.0,19.0
417.0,576.0,0.0,20.0
418.0,577.0,0.0,21.0
419.0,578.0,0.0,22.0
420.0,579.0,0.0,23.0
422.0,580.0,0.0,24.0
423.0,581.0,0.0,25.0
424.0,582.0,0.0,26.0
425.0,583.0,0.0,27.0
426.0,584.0,0.0,28.0
427.0,585.0,0.0,29.0
428.0,586.0,0.0,30.0
429.0,587.0,0.0,31.0
433.0,588.0,0.0,32.0
436.0,589.0,0.0,33.0
437.0,590.0,0.0,34.0
438.0,591.0,0.0,35.0
439.0,592.0,0.0,36.0
440.0,593.0,0.0,37.0
441.0,594.0,0.0,38.0
445.0,595.0,0.0,39.0
446.0,596.0,0.0,40.0
447.0,597.0,0.0,41.0
448.0,598.0,0.0,42.0
449.0,599.0,0.0,43.0
450.0,600.0,0.0,44.0
451.0,601.0,0.0,45.0
452.0,602.0,0.0,46.0
453.0,603.0,0.0,47.0
454.0,604.0,0.0,48.0
455.0,605.0,0.0,49.0
458.0,606.0,0.0,50.0
459.0,607.0,0.0,51.0
460.0,608.0,0.0,52.0
461.0,609.0,0.0,53.0
462.0,610.0,0.0,54.0
463.0,611.0,0.0,55.0
464.0,612.0,0.0,56.0
465.0,613.0,0.0,57.0
466.0,614.0,0.0,58.0
467.0,615.0,0.0,59.0
468.0,616.0,0.0,60.0
20.0,22.0,0.0,2.0
177.0,268.0,0.0,2.0
286.0,619.0,0.0,3.0
480.0,535.0,0.0,2.0
502.0,515.0,0.0,2.0
503.0,517.0,0.0,2.0
