Order ID,Order Created At,Net,Total Items,Total Shipping,_anomaly,_score
13755,2026-03-14 16:50:20,101.33,4,38.37,1,-0.4437710585588246
13729,2026-03-12 20:21:29,93.47,4,52.0,1,-0.4589330663748203
13727,2026-03-12 08:53:47,93.42,4,49.46,1,-0.45026614037679596
13649,2026-03-08 07:48:46,104.41,5,49.46,1,-0.46561847388700023
13647,2026-03-05 20:33:34,145.17,7,47.73,1,-0.5079974948429149
13621,2026-03-03 01:09:48,97.34,1,37.35,1,-0.4479665847314401
13594,2026-02-24 21:48:00,116.81,6,45.36,1,-0.4580270760554117
13593,2026-02-24 15:52:39,116.0,6,41.06,1,-0.453564915665433
13590,2026-02-22 20:34:16,86.03,4,37.07,1,-0.44440877409489415
13589,2026-02-21 20:48:25,81.5,2,51.52,1,-0.4934210590109721
13588,2026-02-21 11:35:15,318.42,14,118.56,-1,-0.7191693767046465
13537,2026-02-16 14:44:45,73.18,2,46.2,1,-0.4810268707397392
13536,2026-02-13 14:35:47,94.43,2,37.07,1,-0.473426275896095
13510,2026-02-10 23:28:40,117.38,3,57.41,1,-0.5098585949430574
13509,2026-02-10 08:57:40,97.13,1,37.14,1,-0.4483964253839005
13472,2026-02-05 17:56:14,136.76,6,50.09,1,-0.49391107726179606
13471,2026-02-01 09:34:58,131.18,6,57.24,1,-0.5095354196167341
13470,2026-02-01 06:42:14,82.02,4,37.0,1,-0.44828279587004627
13419,2026-01-28 14:50:25,120.98,7,43.69,1,-0.48682969708536245
13292,2026-01-19 09:35:43,119.98,6,46.03,1,-0.4602938279471595
13266,2026-01-17 11:54:59,81.92,3,36.94,1,-0.4517342351514492
13264,2026-01-16 14:43:34,126.18,6,42.96,1,-0.4679207504233663
13263,2026-01-16 14:39:12,95.85,5,40.9,1,-0.44800429767044453
13262,2026-01-16 12:36:21,72.94,2,36.94,1,-0.4725762397732666
13208,2026-01-10 18:42:24,74.15,2,42.17,1,-0.4704571773695931
12906,2025-12-26 13:13:24,96.16,1,36.17,1,-0.44915560238854124
12753,2025-12-20 13:34:11,218.34,9,37.43,1,-0.5764275296178645
12752,2025-12-20 03:41:54,106.38,5,37.43,1,-0.45347648409482444
12726,2025-12-19 17:01:21,104.31,1,44.32,1,-0.4656936221906209
12725,2025-12-19 15:50:00,179.73,3,73.75,1,-0.5899929048982647
12724,2025-12-19 12:17:51,111.38,5,37.43,1,-0.45480341285108156
12723,2025-12-19 11:00:57,64.9,3,37.43,1,-0.46095338886470155
12722,2025-12-19 00:01:26,121.22,1,41.23,1,-0.4655030119539076
12721,2025-12-18 17:25:33,151.47,4,37.5,1,-0.4996438498283658
12720,2025-12-17 16:13:20,146.78,1,66.79,1,-0.5650233915646752
12719,2025-12-16 16:55:38,76.2,3,41.23,1,-0.4508369513748472
12718,2025-12-16 16:51:13,63.97,3,37.5,1,-0.4621813033690851
12717,2025-12-15 17:10:19,117.49,1,37.5,1,-0.45706069397533267
12716,2025-12-15 15:01:19,123.08,3,44.11,1,-0.4778800358964476
12715,2025-12-15 14:49:20,101.49,1,37.5,1,-0.44971631097665404
12714,2025-12-15 14:38:00,124.31,5,46.84,1,-0.46548968668369917
12712,2025-12-15 11:49:02,109.89,1,49.9,1,-0.481399626805332
12685,2025-12-14 19:51:58,128.62,1,48.63,1,-0.4889975535871912
12684,2025-12-14 14:55:55,103.59,6,41.23,1,-0.4560218176585677
12683,2025-12-14 14:45:14,75.49,3,37.5,1,-0.4479927897191742
12680,2025-12-14 13:49:11,93.75,4,52.79,1,-0.46446316447277974
12679,2025-12-14 09:45:22,107.39,1,47.4,1,-0.4776460403127186
12678,2025-12-14 09:03:35,99.49,7,37.5,1,-0.4879246671271946
12677,2025-12-14 08:40:17,98.44,6,37.5,1,-0.4585001748575498
12651,2025-12-13 19:48:33,97.49,1,37.5,1,-0.4474126109606039
12650,2025-12-13 15:17:24,97.49,1,37.5,1,-0.4474126109606039
12649,2025-12-13 14:42:42,98.96,1,38.97,1,-0.44530695480212695
12645,2025-12-13 13:33:17,156.91,9,53.5,1,-0.5421732042732762
