product_a_id,product_b_id,co_purchase_count,support,confidence_a_to_b,confidence_b_to_a,lift,orders_a,orders_b,product_a_name,product_b_name
947,4602,19.0,0.015650741350906095,0.2235294117647059,0.4634146341463415,6.6186513629842185,85.0,41.0,Cave Dweller,White Rock
940,4602,21.0,0.01729818780889621,0.22105263157894736,0.5121951219512195,6.545314505776638,95.0,41.0,Bloomy Breeze,White Rock
2078,4602,13.0,0.01070840197693575,0.203125,0.3170731707317073,6.014481707317073,64.0,41.0,Carpenter's Wheel,White Rock
930,4602,24.0,0.019769357495881382,0.16551724137931034,0.5853658536585366,4.900925147182506,145.0,41.0,Cabra LaMancha,White Rock
940,4677,8.0,0.006589785831960461,0.08421052631578947,0.38095238095238093,4.868170426065164,95.0,21.0,Bloomy Breeze,Wensleydale with Cranberry
953,4602,13.0,0.01070840197693575,0.16049382716049382,0.3170731707317073,4.752183077386331,81.0,41.0,Fresh Goat Cheese,White Rock
2078,947,21.0,0.01729818780889621,0.328125,0.24705882352941178,4.6863970588235295,64.0,85.0,Carpenter's Wheel,Cave Dweller
950,4602,18.0,0.014827018121911038,0.15517241379310345,0.43902439024390244,4.5946173254836,116.0,41.0,Mountain Top,White Rock
940,2078,23.0,0.018945634266886325,0.24210526315789474,0.359375,4.592434210526316,95.0,64.0,Bloomy Breeze,Carpenter's Wheel
2078,4677,5.0,0.004118616144975288,0.078125,0.23809523809523808,4.5163690476190474,64.0,21.0,Carpenter's Wheel,Wensleydale with Cranberry
930,4677,11.0,0.009060955518945634,0.07586206896551724,0.5238095238095238,4.385550082101806,145.0,21.0,Cabra LaMancha,Wensleydale with Cranberry
940,947,29.0,0.023887973640856673,0.30526315789473685,0.3411764705882353,4.359876160990713,95.0,85.0,Bloomy Breeze,Cave Dweller
940,950,39.0,0.03212520593080725,0.4105263157894737,0.33620689655172414,4.296370235934664,95.0,116.0,Bloomy Breeze,Mountain Top
940,953,27.0,0.022240527182866558,0.28421052631578947,0.3333333333333333,4.259649122807018,95.0,81.0,Bloomy Breeze,Fresh Goat Cheese
937,934,25.0,0.02059308072487644,0.1893939393939394,0.46296296296296297,4.257856341189674,132.0,54.0,Black & Blue,Moo & Blue
930,934,27.0,0.022240527182866558,0.18620689655172415,0.5,4.186206896551724,145.0,54.0,Cabra LaMancha,Moo & Blue
937,947,38.0,0.03130148270181219,0.2878787878787879,0.4470588235294118,4.111586452762923,132.0,85.0,Black & Blue,Cave Dweller
1903,950,33.0,0.027182866556836903,0.38372093023255816,0.28448275862068967,4.015838011226944,86.0,116.0,Merry Goat Round Spruce Reserve,Mountain Top
2078,950,24.0,0.019769357495881382,0.375,0.20689655172413793,3.9245689655172407,64.0,116.0,Carpenter's Wheel,Mountain Top
934,950,20.0,0.016474464579901153,0.37037037037037035,0.1724137931034483,3.8761174968071517,54.0,116.0,Moo & Blue,Mountain Top
2078,934,11.0,0.009060955518945634,0.171875,0.2037037037037037,3.8640046296296293,64.0,54.0,Carpenter's Wheel,Moo & Blue
947,950,31.0,0.025535420098846788,0.36470588235294116,0.2672413793103448,3.8168356997971604,85.0,116.0,Cave Dweller,Mountain Top
940,934,16.0,0.013179571663920923,0.16842105263157894,0.2962962962962963,3.7863547758284604,95.0,54.0,Bloomy Breeze,Moo & Blue
940,943,57.0,0.04695222405271829,0.6,0.29081632653061223,3.7163265306122457,95.0,196.0,Bloomy Breeze,Merry Goat Round
937,950,46.0,0.03789126853377265,0.3484848484848485,0.39655172413793105,3.6470741901776385,132.0,116.0,Black & Blue,Mountain Top
930,947,36.0,0.029654036243822075,0.2482758620689655,0.4235294117647059,3.545963488843814,145.0,85.0,Cabra LaMancha,Cave Dweller
930,2078,27.0,0.022240527182866558,0.18620689655172415,0.421875,3.5321120689655174,145.0,64.0,Cabra LaMancha,Carpenter's Wheel
2772,2800,8.0,0.006589785831960461,0.18604651162790697,0.12307692307692308,3.4747763864042938,43.0,65.0,All Spruced Up — sampler box,Barely Blue — sampler box
943,4602,23.0,0.018945634266886325,0.11734693877551021,0.5609756097560976,3.474614235938278,196.0,41.0,Merry Goat Round,White Rock
937,2078,24.0,0.019769357495881382,0.18181818181818182,0.375,3.448863636363636,132.0,64.0,Black & Blue,Carpenter's Wheel
937,4602,15.0,0.012355848434925865,0.11363636363636363,0.36585365853658536,3.364745011086475,132.0,41.0,Black & Blue,White Rock
947,953,19.0,0.015650741350906095,0.2235294117647059,0.2345679012345679,3.350181554103123,85.0,81.0,Cave Dweller,Fresh Goat Cheese
937,930,51.0,0.042009884678747944,0.38636363636363635,0.35172413793103446,3.2347962382445146,132.0,145.0,Black & Blue,Cabra LaMancha
953,950,25.0,0.02059308072487644,0.30864197530864196,0.21551724137931033,3.2300979140059596,81.0,116.0,Fresh Goat Cheese,Mountain Top
943,950,60.0,0.04942339373970346,0.30612244897959184,0.5172413793103449,3.2037297677691767,196.0,116.0,Merry Goat Round,Mountain Top
947,934,12.0,0.009884678747940691,0.1411764705882353,0.2222222222222222,3.1738562091503266,85.0,54.0,Cave Dweller,Moo & Blue
2078,1903,14.0,0.011532125205930808,0.21875,0.16279069767441862,3.0879360465116283,64.0,86.0,Carpenter's Wheel,Merry Goat Round Spruce Reserve
937,953,27.0,0.022240527182866558,0.20454545454545456,0.3333333333333333,3.065656565656566,132.0,81.0,Black & Blue,Fresh Goat Cheese
947,943,42.0,0.03459637561779242,0.49411764705882355,0.21428571428571427,3.0605042016806725,85.0,196.0,Cave Dweller,Merry Goat Round
2078,953,13.0,0.01070840197693575,0.203125,0.16049382716049382,3.0443672839506175,64.0,81.0,Carpenter's Wheel,Fresh Goat Cheese
930,943,70.0,0.057660626029654036,0.4827586206896552,0.35714285714285715,2.9901477832512318,145.0,196.0,Cabra LaMancha,Merry Goat Round
953,943,39.0,0.03212520593080725,0.48148148148148145,0.1989795918367347,2.982237339380197,81.0,196.0,Fresh Goat Cheese,Merry Goat Round
930,950,38.0,0.03130148270181219,0.2620689655172414,0.3275862068965517,2.7426872770511292,145.0,116.0,Cabra LaMancha,Mountain Top
934,4602,5.0,0.004118616144975288,0.09259259259259259,0.12195121951219512,2.7416440831074973,54.0,41.0,Moo & Blue,White Rock
943,1903,38.0,0.03130148270181219,0.19387755102040816,0.4418604651162791,2.7368296155671574,196.0,86.0,Merry Goat Round,Merry Goat Round Spruce Reserve
2078,943,28.0,0.023064250411861616,0.4375,0.14285714285714285,2.709821428571429,64.0,196.0,Carpenter's Wheel,Merry Goat Round
947,1903,16.0,0.013179571663920923,0.18823529411764706,0.18604651162790697,2.65718194254446,85.0,86.0,Cave Dweller,Merry Goat Round Spruce Reserve
953,1903,15.0,0.012355848434925865,0.18518518518518517,0.1744186046511628,2.6141257536606375,81.0,86.0,Fresh Goat Cheese,Merry Goat Round Spruce Reserve
937,940,27.0,0.022240527182866558,0.20454545454545456,0.28421052631578947,2.613875598086125,132.0,95.0,Black & Blue,Bloomy Breeze
930,953,25.0,0.02059308072487644,0.1724137931034483,0.30864197530864196,2.5840783312047675,145.0,81.0,Cabra LaMancha,Fresh Goat Cheese
937,1903,24.0,0.019769357495881382,0.18181818181818182,0.27906976744186046,2.566596194503171,132.0,86.0,Black & Blue,Merry Goat Round Spruce Reserve
930,1903,26.0,0.0214168039538715,0.1793103448275862,0.3023255813953488,2.5311948676824385,145.0,86.0,Cabra LaMancha,Merry Goat Round Spruce Reserve
943,934,22.0,0.018121911037891267,0.11224489795918367,0.4074074074074074,2.523431594860166,196.0,54.0,Merry Goat Round,Moo & Blue
953,934,9.0,0.007413509060955519,0.1111111111111111,0.16666666666666666,2.4979423868312756,81.0,54.0,Fresh Goat Cheese,Moo & Blue
950,4677,5.0,0.004118616144975288,0.04310344827586207,0.23809523809523808,2.4917898193760264,116.0,21.0,Mountain Top,Wensleydale with Cranberry
940,930,28.0,0.023064250411861616,0.29473684210526313,0.19310344827586207,2.4676588021778585,95.0,145.0,Bloomy Breeze,Cabra LaMancha
937,943,50.0,0.04118616144975288,0.3787878787878788,0.25510204081632654,2.3461657390228816,132.0,196.0,Black & Blue,Merry Goat Round
1903,4602,6.0,0.004942339373970346,0.06976744186046512,0.14634146341463414,2.0657969370391376,86.0,41.0,Merry Goat Round Spruce Reserve,White Rock
