First Ordered Product,Total Customers,Avg Spent,Returning Customers Rate
2764,17,625.43,88.2
FireFly Cheese Club,18,531.19,100.0
2768,10,529.63,100.0
3076,3,422.73,100.0
3894,2,415.8,100.0
2742,10,326.88,90.0
3072,6,324.24,100.0
Barely Blue — sampler box,39,259.94,35.9
Nat's Nuts Cinnamon Whiskey Pecans,2,245.47,50.0
Merry Goat Round,104,212.64,27.9
FireFly Farms Christmas Sampler,53,207.8,22.6
Taste of Fall,20,205.3,45.0
All Goat,38,203.51,15.8
Mountain Top,72,201.5,25.0
All Spruced Up — sampler box,31,200.02,25.8
Big Picture Farm Chocolate Covered Goat Milk Caramels,4,194.34,25.0
Bloomy Breeze,51,181.76,33.3
Cheese Wedge Ornament,1,179.73,0.0
Honey honey — sampler box,18,179.18,38.9
Moo & Blue,38,173.84,36.8
Cradoc's Sea Salted Crackers,4,172.84,25.0
Herdsman,1,172.64,0.0
The Heritage Sampler,13,168.89,30.8
Parra Jimenez Organic Manchego,2,165.6,0.0
Shakerag Blue,2,165.07,0.0
American Cheese Month Sampler,4,158.26,25.0
Merry Goat Round Spruce Reserve,42,158.25,26.2
Carpenter's Wheel,37,157.33,24.3
White Rock,22,156.79,22.7
Black & Blue,82,151.03,23.2
Cabrita,3,150.34,33.3
Wensleydale with Cranberry,15,147.56,26.7
Organic Sourdough Sea Salt Crackers,4,145.79,25.0
Winter Blues,5,145.2,20.0
Cabra LaMancha,87,143.19,27.6
Cave Dweller,53,141.02,20.8
Cow's Milk Sampler,15,139.32,6.7
Fresh Goat Cheese,44,137.91,20.5
Legendary Moo,1,136.76,0.0
Mother's Day Gift Box,39,136.12,17.9
