Nth day,Active users
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,31
126,49
127,55
128,44
129,100
130,57
131,57
132,59
133,61
134,118
135,80
136,65
137,53
138,150
139,59
140,48
141,68
142,74
143,188
144,67
145,79
146,247
147,106
148,61
149,87
150,59
151,54
152,57
153,58
154,79
155,110
156,66
157,67
158,59
159,64
160,113
161,80
162,82
163,63
164,72
165,59
166,55
167,68
168,60
169,69
170,81
171,58
172,207
173,100
174,73
175,66
176,68
177,66
178,66
179,200
180,80
181,292
182,107
183,69
184,86
185,158
186,70
187,93
188,105
189,70
190,100
191,61
192,63
193,76
194,77
195,66
196,165
197,98
198,72
199,82
200,66
201,77
202,68
203,61
204,61
205,129
206,74
207,108
208,99
209,90
210,110
211,87
212,76
213,93
214,77
215,102
216,92
217,81
218,81
219,85
220,102
221,102
222,102
223,121
224,79
225,81
226,98
227,86
228,80
229,235
230,88
231,71
232,140
233,101
234,107
235,105
236,87
237,90
238,104
239,390
240,99
241,123
242,105
243,125
244,150
245,114
246,102
247,146
248,117
249,111
250,310
251,136
252,99
253,111
254,136
255,117
256,119
257,90
258,102
259,97
260,102
261,106
262,125
263,100
264,262
265,109
266,87
267,97
268,78
269,99
270,94
271,113
272,125
273,116
274,89
275,111
276,149
277,115
278,111
279,85
280,94
281,147
282,123
283,88
284,148
285,240
286,146
287,93
288,118
289,100
290,128
291,161
292,83
293,76
294,117
295,94
296,84
297,76
298,77
299,113
300,74
301,79
302,144
303,131
304,106
305,115
306,78
307,92
308,81
309,85
310,106
311,92
312,70
313,69
314,78
315,71
316,84
317,90
318,73
319,77
320,99
321,71
322,133
323,73
324,160
325,76
326,80
327,68
328,78
329,81
330,71
331,100
332,79
333,89
334,80
335,78
336,83
337,99
338,78
339,64
340,74
341,96
342,103
343,60
344,101
345,102
346,161
347,120
348,94
349,92
350,80
351,93
352,105
353,191
354,87
355,90
356,110
357,82
358,92
359,97
360,102
361,70
362,90
363,72
364,56
365,109
366,147
367,192
368,234
369,295
370,205
371,303
372,283
373,185
374,96
375,76
376,448
377,214
378,200
379,168
380,164
381,190
382,178
383,382
384,211
385,202
386,185
387,193
388,169
389,473
390,207
391,183
392,169
393,157
394,249
395,123
396,162
397,190
398,66
399,65
400,140
401,103
402,60
403,82
404,75
405,68
406,167
407,72
408,69
409,88
410,86
411,141
412,104
413,138
414,69
415,96
416,113
417,97
418,72
419,54
420,35
421,67
422,92
423,99
424,110
425,107
426,63
427,58
428,81
429,62
430,61
431,44
432,52
433,69
434,83
435,77
436,92
437,71
438,70
439,78
440,71
441,71
442,112
443,129
444,94
445,69
446,65
447,66
448,93
449,100
450,60
451,62
452,68
453,61
454,61
455,68
456,52
457,65
458,70
459,58
460,52
461,63
462,66
463,186
464,67
465,104
466,78
467,122
468,83
469,76
470,100
471,89
472,108
473,70
474,76
475,62
476,62
477,40
478,65
479,72
480,66
481,67
482,63
483,102
484,70
485,72
486,100
487,59
488,51
489,55
490,54
491,110
492,106
493,93
494,65
495,76
496,64
497,57
498,127
499,64
500,77
501,50
502,73
503,91
504,74
505,64
506,57
507,65
508,60
509,114
510,60
511,67
512,76
513,63
514,64
515,52
516,73
517,78
518,247
519,74
520,82
521,56
522,60
523,60
524,67
525,78
526,87
527,67
528,54
529,74
530,85
531,66
