Nth day,New users
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,30
126,49
127,54
128,43
129,99
130,54
131,54
132,57
133,58
134,113
135,72
136,55
137,52
138,141
139,52
140,45
141,58
142,66
143,170
144,61
145,70
146,219
147,98
148,51
149,77
150,47
151,51
152,50
153,52
154,72
155,107
156,53
157,59
158,56
159,58
160,102
161,71
162,77
163,55
164,65
165,55
166,54
167,60
168,57
169,63
170,74
171,52
172,207
173,88
174,65
175,59
176,65
177,59
178,58
179,190
180,73
181,260
182,92
183,60
184,70
185,148
186,64
187,81
188,95
189,64
190,95
191,55
192,61
193,69
194,67
195,57
196,143
197,88
198,68
199,72
200,58
201,70
202,62
203,57
204,58
205,116
206,66
207,101
208,94
209,82
210,94
211,76
212,64
213,83
214,69
215,93
216,83
217,72
218,77
219,76
220,97
221,94
222,89
223,111
224,72
225,73
226,87
227,79
228,69
229,199
230,75
231,64
232,132
233,87
234,90
235,95
236,71
237,82
238,92
239,378
240,89
241,115
242,98
243,107
244,137
245,98
246,93
247,133
248,104
249,92
250,329
251,120
252,90
253,97
254,120
255,98
256,115
257,75
258,92
259,85
260,93
261,96
262,114
263,92
264,235
265,100
266,71
267,82
268,66
269,92
270,80
271,103
272,116
273,106
274,82
275,102
276,140
277,107
278,101
279,77
280,80
281,139
282,101
283,78
284,135
285,231
286,128
287,80
288,100
289,86
290,112
291,149
292,77
293,66
294,105
295,77
296,78
297,72
298,71
299,105
300,69
301,71
302,140
303,126
304,99
305,103
306,72
307,86
308,69
309,77
310,92
311,82
312,69
313,60
314,73
315,63
316,65
317,82
318,68
319,68
320,89
321,66
322,124
323,62
324,142
325,68
326,74
327,62
328,72
329,71
330,67
331,93
332,73
333,83
334,74
335,70
336,70
337,79
338,70
339,57
340,64
341,85
342,97
343,56
344,90
345,89
346,150
347,101
348,84
349,83
350,66
351,75
352,98
353,170
354,72
355,77
356,103
357,68
358,84
359,91
360,97
361,64
362,76
363,58
364,53
365,105
366,135
367,177
368,219
369,279
370,185
371,280
372,257
373,172
374,83
375,69
376,420
377,197
378,167
379,147
380,140
381,169
382,158
383,345
384,175
385,184
386,164
387,176
388,154
389,435
390,182
391,171
392,153
393,136
394,219
395,100
396,137
397,165
398,55
399,57
400,128
401,87
402,53
403,75
404,68
405,60
406,150
407,64
408,56
409,71
410,78
411,101
412,70
413,107
414,55
415,83
416,102
417,89
418,65
419,48
420,30
421,57
422,85
423,95
424,88
425,84
426,56
427,52
428,73
429,59
430,54
431,41
432,47
433,62
434,74
435,69
436,81
437,64
438,63
439,76
440,61
441,62
442,107
443,107
444,82
445,66
446,51
447,59
448,77
449,74
450,52
451,57
452,64
453,55
454,55
455,53
456,44
457,57
458,62
459,50
460,43
461,55
462,58
463,174
464,62
465,95
466,67
467,120
468,75
469,65
470,85
471,80
472,92
473,64
474,60
475,59
476,54
477,32
478,56
479,63
480,54
481,61
482,57
483,93
484,59
485,64
486,91
487,52
488,43
489,50
490,49
491,100
492,95
493,80
494,52
495,69
496,52
497,51
498,111
499,50
500,68
501,44
502,66
503,80
504,57
505,52
506,52
507,53
508,55
509,106
510,53
511,53
512,68
513,56
514,55
515,50
516,70
517,72
518,237
519,72
520,70
521,50
522,52
523,54
524,56
525,67
526,69
527,57
528,47
529,64
530,74
531,60
