Product A Id,Product B Id,co_count
930,934,27
930,943,70
930,947,36
930,950,38
930,953,25
930,1903,26
930,2078,27
930,2802,1
930,2983,3
930,3156,1
930,3985,2
930,3992,4
930,4475,3
930,4602,24
930,4677,11
930,5343,2
930,5347,5
930,5350,1
930,7272,1
930,11909,3
930,12544,1
930,12550,2
930,12554,1
930,13261,1
930,13476,1
934,950,20
934,2884,2
934,4602,5
934,4677,4
934,11909,1
934,12554,3
937,930,51
937,934,25
937,940,27
937,943,50
937,947,38
937,950,46
937,953,27
937,1903,24
937,2078,24
937,2884,2
937,2983,3
937,3156,1
937,3351,1
937,3985,3
937,3992,2
937,4475,1
937,4602,15
937,4677,4
937,5343,3
937,5347,2
937,5350,4
937,5388,1
937,7272,3
937,8383,1
937,8385,1
937,8862,6
937,9201,3
937,9518,1
937,9520,1
937,11909,4
937,12544,1
937,12554,3
937,13261,1
940,930,28
940,934,16
940,943,57
940,947,29
940,950,39
940,953,27
940,1903,13
940,2078,23
940,2802,1
940,2884,1
940,2983,1
940,3979,1
940,3985,2
940,3992,1
940,4475,2
940,4602,21
940,4677,8
940,5343,8
940,5347,5
940,5350,6
940,5388,1
940,7272,2
940,8862,6
940,9201,2
940,11909,3
940,12550,1
940,12554,3
940,12644,1
943,934,22
943,950,60
943,1903,38
943,2884,1
943,3152,1
943,3351,2
943,3979,1
943,3985,1
943,4602,23
943,4677,7
943,5347,6
943,5350,5
943,8383,1
943,9518,1
943,9520,1
943,11909,2
943,12544,3
943,12554,2
943,13476,1
947,934,12
947,943,42
947,950,31
947,953,19
947,1903,16
947,2983,3
947,3985,1
947,3992,1
947,4602,19
947,4677,1
947,5343,2
947,5347,5
947,5350,3
947,7272,3
947,8383,1
947,8385,1
947,9201,1
947,11909,2
947,12544,1
947,12554,1
947,12644,1
947,13476,1
950,3985,1
950,4602,18
950,4677,5
950,5347,1
950,5350,2
950,8383,1
950,9518,1
950,9520,1
950,11909,4
950,12544,1
950,12554,4
953,934,9
953,943,39
953,950,25
953,1903,15
953,2802,1
953,2884,3
953,4602,13
953,4677,2
953,5347,1
953,5350,1
953,7272,1
953,8383,1
953,8385,1
953,9518,1
953,9520,1
953,11909,4
953,12544,2
953,12554,2
1903,934,7
1903,950,33
1903,4602,6
1903,4677,1
1903,5347,2
1903,5350,1
1903,8383,1
1903,12554,1
2078,934,11
2078,943,28
2078,947,21
2078,950,24
2078,953,13
2078,1903,14
2078,2802,1
2078,2983,2
2078,3156,1
2078,3351,1
2078,3985,1
2078,3992,2
2078,4475,2
2078,4602,13
2078,4677,5
2078,5343,1
2078,5347,1
2078,5350,1
2078,5388,1
2078,7272,2
2078,8383,2
2078,8385,1
2078,9201,2
2078,11909,1
2078,12544,1
2078,12550,1
2078,13261,2
2772,930,2
2772,934,2
2772,943,1
2772,950,1
2772,953,1
2772,2078,1
2772,2800,8
2772,2802,2
2772,2884,3
2772,3979,1
2772,3985,1
2772,3992,2
2772,4602,1
2772,4634,3
2772,4677,1
2800,930,1
2800,937,1
2800,940,1
2800,943,2
2800,950,2
2800,953,3
2800,1903,1
2800,2802,4
2800,2884,3
2800,2983,5
2800,3985,2
2800,3992,1
2800,4634,2
2800,4677,1
2802,943,1
2802,1903,1
2802,2884,1
2802,3985,2
2983,934,2
2983,943,1
2983,953,2
2983,2802,1
2983,4677,4
2983,11909,2
2983,12544,2
3156,934,1
3156,943,1
3351,950,1
3351,3985,1
3351,8383,1
3985,3979,2
3985,4602,1
3985,4677,1
3990,930,3
3990,934,2
3990,940,1
3990,943,2
3990,950,1
3990,1903,1
3990,2078,1
3990,2772,1
3990,2800,1
3990,3979,2
3990,3985,1
3990,3992,4
3990,4475,1
3990,4602,1
3990,4677,1
3992,943,2
3992,953,1
3992,2983,1
3992,3979,1
3992,4475,1
3992,4677,2
3992,5347,1
3992,5350,1
4475,943,6
4475,950,1
4475,953,2
4475,1903,1
4634,930,1
4634,940,1
4634,943,2
4634,947,1
4634,950,1
4634,953,1
4634,2802,1
4634,3985,1
4634,4602,1
4634,4677,2
4677,4602,4
5343,943,5
5343,950,2
5343,953,1
5343,1903,4
5343,3985,2
5343,4602,3
5343,5347,5
5343,5350,6
5343,7272,2
5343,9201,2
5347,3985,2
5347,4602,2
5350,3985,2
5350,4602,5
5350,5347,2
5388,953,1
5388,1903,1
5388,3992,1
5388,4602,1
5388,5343,1
5388,5350,2
7272,943,2
7272,950,1
7272,1903,2
7272,3985,3
7272,4602,3
7272,5347,1
7272,5350,1
7272,8383,1
7272,9201,2
8383,4602,1
8385,1903,1
8385,4602,1
8385,7272,1
8385,8383,1
8862,943,5
8862,947,3
8862,950,6
8862,953,3
8862,1903,2
8862,2078,5
8862,3985,1
8862,4602,4
8862,5343,4
8862,5347,2
8862,5350,3
8862,7272,3
8862,8383,1
8862,8385,1
8862,9201,3
9201,943,1
9201,950,3
9201,1903,1
9201,3985,1
9201,4602,2
9201,5347,1
9201,5350,1
9518,4602,1
9520,4602,1
9520,9518,1
11909,4602,1
12544,4677,2
12544,11909,2
12547,2983,1
12547,12544,1
12550,4602,1
12550,4677,2
12554,4677,1
12644,953,1
12644,12554,1
12713,12644,1
13261,943,1
13261,950,1
13261,11909,1
13261,12544,1
13474,930,1
13474,943,1
13474,947,1
13474,4602,1
13474,13476,1
13476,4602,1
13478,953,1
13478,1903,1
13478,12554,1
