Billing Address State,net_revenue,n_orders
MD,41254.520000000004,550
PA,11571.51,145
VA,10444.78,125
FL,8064.74,92
DC,5467.3099999999995,67
NJ,3045.34,43
WV,2485.5,35
NY,2078.3,28
CT,1577.6900000000003,14
CA,1227.26,22
DE,1202.57,20
WI,1172.82,21
TX,1146.25,18
OH,1030.02,11
IL,1019.69,14
GA,1013.4200000000001,10
OR,863.0400000000002,11
TN,778.0,12
AZ,745.0100000000001,7
WA,679.1300000000001,7
MN,668.03,6
MA,416.41,4
NC,351.29999999999995,8
AL,342.38,4
UT,287.44,6
MI,285.17,3
NV,212.85000000000002,2
LA,183.0,1
SC,154.44,2
ID,119.98,1
ME,119.91,3
MO,111.96000000000001,2
CO,96.45,1
IN,71.15,1
NM,63.99,2
AK,47.99,1
NE,40.0,1
