month,net_revenue,n_orders
2022-10,109.0,2
2022-11,2338.8500000000004,49
2022-12,6218.74,98
2023-01,857.9300000000001,17
2023-02,2187.12,48
2023-03,2056.75,41
2023-04,3247.87,61
2023-05,3104.1,52
2023-06,2237.95,36
2023-07,1912.8100000000002,32
2023-08,1754.79,32
2023-09,1597.68,25
2023-10,1625.97,26
2023-11,2237.92,38
2023-12,8791.51,114
2024-01,1587.11,23
2024-02,1090.33,16
2024-03,912.9700000000001,14
2024-04,1726.99,23
2024-05,2419.41,37
2024-06,2704.16,34
2024-07,2004.81,22
2024-08,2471.16,24
2024-09,2047.33,22
2024-10,1484.8700000000003,14
2024-11,4254.610000000001,42
2024-12,9622.39,96
2025-01,2736.2300000000005,26
2025-02,2779.4,26
2025-03,2269.4300000000003,23
2025-04,1662.98,18
2025-05,2957.4300000000003,28
2025-06,2355.08,20
2025-09,1418.8799999999999,15
2025-10,627.28,5
2025-11,2347.15,23
2025-12,5902.38,53
2026-01,691.9999999999999,7
2026-02,1450.8400000000001,12
2026-03,635.14,6
